ID,Case Number,Date,Block,IUCR,Primary Type,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude
1744168,G553545,9/15/2001 2:00,013XX W POLK ST,460,BATTERY,FALSE,FALSE,1213,12,,,08B,,,2001,8/17/2015 15:03,,
1833988,G666677,11/2/2001 18:30,002XX W CONGRESS PW,810,THEFT,FALSE,FALSE,131,1,,,6,,,2001,8/17/2015 15:03,,
1896258,G749215,12/15/2001 2:00,011XX N STATE ST,460,BATTERY,FALSE,FALSE,1824,18,,,08B,,,2001,8/17/2015 15:03,,
2370646,HH676216,9/26/2002 13:30,034XX W 79TH ST,460,BATTERY,FALSE,FALSE,835,8,18,70,08B,,,2002,8/17/2015 15:03,,
2378227,HH686534,10/1/2002 19:00,022XX W NORTH AVE,910,MOTOR VEHICLE THEFT,FALSE,FALSE,1424,14,1,24,7,,,2002,8/17/2015 15:03,,
2439013,HH761070,11/5/2002 16:40,063XX S ROCKWELL ST,031A,ROBBERY,TRUE,FALSE,825,8,15,66,3,,,2002,8/17/2015 15:03,,
4227855,HL534770,8/7/2005 7:15,019XX N CENTRAL AV OVERPASS,810,THEFT,FALSE,FALSE,2515,25,29,25,6,,,2005,8/17/2015 15:03,,
5253983,HM665450,10/17/2006 13:05,052XX W HURON ST,2017,NARCOTICS,TRUE,FALSE,1524,15,28,25,18,,,2006,8/17/2015 15:03,,
5145265,HM742840,10/1/2005 9:00,035XX W CERMAK RD,810,THEFT,TRUE,FALSE,1024,10,22,30,6,,,2005,8/17/2015 15:03,,
5741943,HN549294,8/25/2007 9:22,074XX N ROGERS AVE,560,ASSAULT,FALSE,FALSE,2422,24,49,1,08A,,,2007,8/17/2015 15:03,,
6100076,HP196422,2/26/2008 0:00,075XX N OAKLEY AVE,910,MOTOR VEHICLE THEFT,FALSE,FALSE,2411,24,49,2,7,,,2008,8/17/2015 15:03,,
6329138,HP422605,6/28/2008 23:00,048XX N BROADWAY,810,THEFT,FALSE,FALSE,2033,20,48,3,6,,,2008,8/17/2015 15:03,,
6400477,HP485201,7/31/2008 4:30,078XX S UNION AVE,041A,BATTERY,FALSE,FALSE,621,6,17,71,04B,,,2008,8/17/2015 15:03,,
6421103,HP505515,8/8/2008 23:00,065XX N NASHVILLE AVE,1320,CRIMINAL DAMAGE,FALSE,FALSE,1611,16,41,10,14,,,2008,8/17/2015 15:03,,
6534949,HP599238,9/23/2008 6:30,039XX S ROCKWELL ST,820,THEFT,FALSE,FALSE,912,9,12,58,6,,,2008,8/17/2015 15:03,,
